Yea,Type of vehicle,Value
2000,Motorcars,3916137
2000,Motorcycles,5392507
2000,Taxis and hired cars,60484
2000,Buses,42447
2000,Commercial vehicle,652556
2000,Other vehicles,583062
2001,Motorcars,4312028
2001,Motorcycles,5627258
2001,Taxis and hired cars,65001
2001,Buses,43099
2001,Commercial vehicle,678168
2001,Other vehicles,596928
2002,Motorcars,4731741
2002,Motorcycles,5849943
2002,Taxis and hired cars,70689
2002,Buses,44018
2002,Commercial vehicle,703583
2002,Other vehicles,613696
2003,Motorcars,5156494
2003,Motorcycles,6171177
2003,Taxis and hired cars,77462
2003,Buses,45032
2003,Commercial vehicle,733558
2003,Other vehicles,630737
2004,Motorcars,5628610
2004,Motorcycles,6569154
2004,Taxis and hired cars,87005
2004,Buses,46322
2004,Commercial vehicle,766727
2004,Other vehicles,649005
2005,Motorcars,6166510
2005,Motorcycles,6991409
2005,Taxis and hired cars,95418
2005,Buses,47890
2005,Commercial vehicle,800259
2005,Other vehicles,665445
2006,Motorcars,6624804
2006,Motorcycles,7440160
2006,Taxis and hired cars,102469
2006,Buses,49929
2006,Commercial vehicle,835936
2006,Other vehicles,685146
2007,Motorcars,7093316
2007,Motorcycles,7924758
2007,Taxis and hired cars,108352
2007,Buses,51738
2007,Commercial vehicle,875591
2007,Other vehicles,707028
2008,Motorcars,7630408
2008,Motorcycles,8467880
2008,Taxis and hired cars,116728
2008,Buses,53075
2008,Commercial vehicle,919324
2008,Other vehicles,729971
2009,Motorcars,8144362
2009,Motorcycles,8909425
2009,Taxis and hired cars,122973
2009,Buses,55039
2009,Commercial vehicle,954055
2009,Other vehicles,748893
2010,Motorcars,8729666
2010,Motorcycles,9407466
2010,Taxis and hired cars,131276
2010,Buses,57106
2010,Commercial vehicle,994942
2010,Other vehicles,772363
2011,Motorcars,9324276
2011,Motorcycles,9949774
2011,Taxis and hired cars,139791
2011,Buses,59511
2011,Commercial vehicle,1034660
2011,Other vehicles,796806
2012,Motorcars,9952515
2012,Motorcycles,10559370
2012,Taxis and hired cars,146104
2012,Buses,60951
2012,Commercial vehicle,1075402
2012,Other vehicles,822224
2013,Motorcars,10535575
2013,Motorcycles,11087878
2013,Taxis and hired cars,153875
2013,Buses,62784
2013,Commercial vehicle,1116167
2013,Other vehicles,862977
2014,Motorcars,11199910
2014,Motorcycles,11629265
2014,Taxis and hired cars,229678
2014,Buses,0
2014,Commercial vehicle,1159872
2014,Other vehicles,882467
2015,Motorcars,12094790
2015,Motorcycles,11871696
2015,Taxis and hired cars,239033
2015,Buses,0
2015,Commercial vehicle,1197987
2015,Other vehicles,898446
2016,Motorcars,13000358
2016,Motorcycles,12677220
2016,Taxis and hired cars,183989
2016,Buses,0
2016,Commercial vehicle,1190664
2016,Other vehicles,561028
2017,Motorcars,12081093
2017,Motorcycles,12888820
2017,Taxis and hired cars,165489
2017,Buses,0
2017,Commercial vehicle,1214844
2017,Other vehicles,598934
2018,Motorcars,14117537
2018,Motorcycles,13726534
2018,Taxis and hired cars,173921
2018,Buses,0
2018,Commercial vehicle,1259461
2018,Other vehicles,678760
2019,Motorcars,14117537
2019,Motorcycles,13726534
2019,Taxis and hired cars,173921
2019,Buses,0
2019,Commercial vehicle,1259461
2019,Other vehicles,678760
2020,Motorcars,14684580
2020,Motorcycles,14515696
2020,Taxis and hired cars,171512
2020,Buses,0
2020,Commercial vehicle,1316197
2020,Other vehicles,707436
2021,Motorcars,15216589
2021,Motorcycles,14986834
2021,Taxis and hired cars,174059
2021,Buses,0
2021,Commercial vehicle,1347466
2021,Other vehicles,731349
